,会社名,給与,初年度年収
114,株式会社エフ・エム | #WEB面談#年休125日#リモート案件あり#大阪府緊急雇用対策に賛同,月給25万円〜45万円 ※経験・能力等を考慮の上、決定します ※試用期間3ヶ月あり（待遇は変わりません） …,350万円～640万円
115,GOOMAX株式会社 | 【発電所関連の製品を扱う専門商社】★残業ほぼなし★土日祝休み,月給：25万円〜＋賞与＋高額インセンティブ ※あなたの経験やスキルを最大限に考慮いたします。 「イン…,300万円～800万円
116,株式会社下野建設 | 電気通信工事で九州トップクラス ★ 2019年→2020年で売上2倍超,月給23万5000円〜40万円 + 諸手当 ※前職の給与を十分考慮して月給を決定します。 ※月給には一律手当を…,不明
117,株式会社オレンジワークス | Web、映像、紙等、枠にとらわれないメディア戦略が強み！,月給30万円以上 ※経験・スキルを考慮して決定します。 ※試用期間3ヶ月（同条件）,360万円～500万円
118,株式会社クロノステクノロジー | ■未来を感じるハイレベルなプロジェクトに携わりませんか？,月給22万円 〜 35万円 ＋ 各種手当 ＋ 賞与 ※前職の給与を最大限考慮し、 　経験・能力・年齢に応じて決…,300万円～500万円
119,ミラクルマイル株式会社 | ★基本リモートワーク ★WEB面接可能！ ★資格支援◎ ★完休2日,年俸350万円〜700万円,350万円～700万円
120,株式会社ソフトハート | #上流工程#経験が浅くてもOK#賞与4.5ヶ月分#有給取得平均12.3日,月給25万円〜＋各種手当+賞与年3回（昨年：平均4.5ヶ月分） ※給与はあくまでも最低保証額。経験・能力等…,不明
121,株式会社テレクト | NTT西日本情報機器専売店/NTT専売・委託店部門で5年連続売上TOP,"月給21万8,000円以上(一律手当含む)+インセンティブ(目標達成後、1件ごとに支給) ※あなたの経験・能力を…",300万円～450万円
122,ドコモ・データコム株式会社 | 【設立58年！NTTのグループ企業☆業界のパイオニア的企業です】,"■時給2,500円以上 ＜月収例＞375,000円 ※IT系の業務経験のレベルにより増額あり！",450万円～500万円
123,株式会社ファンコミュニケーションズ | <業務推進部>★リモートワーク実施中 ★月初以外は定時退社,月給：28万3500円以上 ※経験や能力を考慮の上、当社規定により決定致します。 ※上記にはみなし残業代…,340万円～450万円
124,東通インテグレート株式会社 | 月給30万円～／週休2日制／福利厚生も充実♪,月給：30万円〜50万円 ※年齢、経験、能力を考慮の上、優遇いたします。 ※固定残業代20時間相当分(4万円…,350万円～600万円
